*****************13/10/2016 08:31:04.177*****************
08:31:50.577 -> creada la cuadricula 837
08:31:50.603 -> creada la cuadricula 836
08:31:50.624 -> creada la cuadricula 835
08:31:50.643 -> creada la cuadricula 834
08:31:50.665 -> creada la cuadricula 833
08:31:50.685 -> creada la cuadricula 832
08:31:50.706 -> creada la cuadricula 831
08:31:50.726 -> creada la cuadricula 830
08:31:50.756 -> creada la cuadricula 829
08:31:50.779 -> creada la cuadricula 828
08:31:50.802 -> creada la cuadricula 827
08:31:50.823 -> creada la cuadricula 826
08:31:50.846 -> creada la cuadricula 825
08:31:50.867 -> creada la cuadricula 824
08:31:50.893 -> creada la cuadricula 823
08:31:50.919 -> creada la cuadricula 822
08:31:50.944 -> creada la cuadricula 821
08:31:50.965 -> creada la cuadricula 820
08:31:51.001 -> creada la cuadricula 819
08:31:51.030 -> creada la cuadricula 818
08:31:51.064 -> creada la cuadricula 817
08:31:51.086 -> creada la cuadricula 816
08:31:51.104 -> creada la cuadricula 815
08:31:51.126 -> creada la cuadricula 814
08:31:51.148 -> creada la cuadricula 813
08:31:51.171 -> creada la cuadricula 812
08:31:51.195 -> creada la cuadricula 811
08:31:51.219 -> creada la cuadricula 810
08:31:51.247 -> creada la cuadricula 809
08:31:51.274 -> creada la cuadricula 808
08:31:51.299 -> creada la cuadricula 807
08:31:51.330 -> creada la cuadricula 806
08:31:51.361 -> creada la cuadricula 805
08:31:51.390 -> creada la cuadricula 804
08:31:51.424 -> creada la cuadricula 803
08:31:51.454 -> creada la cuadricula 802
08:31:51.482 -> creada la cuadricula 801
08:31:51.512 -> creada la cuadricula 800
08:31:51.541 -> creada la cuadricula 799
08:31:51.607 -> creada la cuadricula 798
08:31:51.631 -> creada la cuadricula 797
08:31:51.653 -> creada la cuadricula 796
08:31:51.676 -> creada la cuadricula 795
08:31:51.700 -> creada la cuadricula 794
08:31:51.723 -> creada la cuadricula 793
08:31:51.750 -> creada la cuadricula 792
08:31:51.774 -> creada la cuadricula 791
08:31:51.795 -> creada la cuadricula 790
08:31:51.817 -> creada la cuadricula 789
08:31:51.840 -> creada la cuadricula 788
08:31:51.876 -> creada la cuadricula 787
08:31:51.897 -> creada la cuadricula 786
08:31:51.917 -> creada la cuadricula 785
08:31:51.938 -> creada la cuadricula 784
08:31:51.967 -> creada la cuadricula 783
08:31:51.997 -> creada la cuadricula 782
08:31:52.024 -> creada la cuadricula 781
08:31:52.053 -> creada la cuadricula 780
08:31:52.079 -> creada la cuadricula 779
08:31:52.103 -> creada la cuadricula 778
08:31:52.128 -> creada la cuadricula 777
08:31:52.152 -> creada la cuadricula 776
08:31:52.178 -> creada la cuadricula 775
08:31:52.201 -> creada la cuadricula 774
08:31:52.223 -> creada la cuadricula 773
08:31:52.245 -> creada la cuadricula 772
08:31:52.268 -> creada la cuadricula 771
08:31:52.296 -> creada la cuadricula 770
08:31:52.323 -> creada la cuadricula 769
08:31:52.350 -> creada la cuadricula 768
08:31:52.377 -> creada la cuadricula 767
08:31:52.403 -> creada la cuadricula 766
08:31:52.433 -> creada la cuadricula 765
08:31:52.461 -> creada la cuadricula 764
08:31:52.489 -> creada la cuadricula 763
08:31:52.524 -> creada la cuadricula 762
08:31:52.550 -> creada la cuadricula 761
08:31:52.579 -> creada la cuadricula 760
08:31:52.608 -> creada la cuadricula 759
08:31:52.630 -> creada la cuadricula 758
08:31:52.709 -> creada la cuadricula 757
08:31:52.733 -> creada la cuadricula 756
08:31:52.774 -> creada la cuadricula 755
08:31:52.814 -> creada la cuadricula 754
08:31:52.857 -> creada la cuadricula 753
08:31:52.894 -> creada la cuadricula 752
08:31:52.922 -> creada la cuadricula 751
08:31:52.948 -> creada la cuadricula 750
08:31:52.970 -> creada la cuadricula 749
08:31:52.994 -> creada la cuadricula 748
08:31:53.015 -> creada la cuadricula 747
08:31:53.031 -> creada la cuadricula 746
08:31:53.052 -> creada la cuadricula 745
08:31:53.073 -> creada la cuadricula 744
08:31:53.096 -> creada la cuadricula 743
08:31:53.117 -> creada la cuadricula 742
08:31:53.136 -> Abre ver estados
08:31:53.139 -> creada la cuadricula 741
08:31:53.176 -> creada la cuadricula 740
08:31:53.211 -> creada la cuadricula 739
08:31:53.251 -> creada la cuadricula 738
08:31:53.275 -> creada la cuadricula 737
08:31:53.309 -> creada la cuadricula 736
08:31:53.341 -> creada la cuadricula 735
08:31:53.374 -> creada la cuadricula 734
08:31:53.397 -> creada la cuadricula 733
08:31:53.464 -> creada la cuadricula 732
08:31:53.500 -> creada la cuadricula 731
08:31:53.526 -> creada la cuadricula 730
08:31:53.663 -> creada la cuadricula 729
08:31:53.698 -> creada la cuadricula 728
08:31:53.730 -> creada la cuadricula 727
08:31:53.764 -> creada la cuadricula 726
08:31:53.798 -> creada la cuadricula 725
08:31:53.834 -> creada la cuadricula 724
08:31:53.869 -> creada la cuadricula 723
08:31:53.899 -> creada la cuadricula 722
08:31:53.933 -> creada la cuadricula 721
08:31:53.964 -> creada la cuadricula 720
08:31:53.988 -> creada la cuadricula 719
08:31:54.011 -> creada la cuadricula 718
08:31:54.028 -> creada la cuadricula 717
08:31:54.048 -> creada la cuadricula 716
08:31:54.178 -> creada la cuadricula 715
08:31:54.211 -> creada la cuadricula 714
08:31:54.802 -> creada la cuadricula 713
08:31:54.844 -> creada la cuadricula 712
08:31:54.872 -> creada la cuadricula 711
08:31:54.906 -> creada la cuadricula 710
08:31:54.937 -> creada la cuadricula 709
08:31:54.971 -> creada la cuadricula 708
08:31:55.002 -> creada la cuadricula 707
08:31:55.062 -> creada la cuadricula 706
08:31:55.115 -> creada la cuadricula 705
08:31:55.173 -> creada la cuadricula 704
08:31:55.217 -> creada la cuadricula 703
08:31:55.261 -> creada la cuadricula 702
08:31:55.310 -> creada la cuadricula 701
08:31:55.354 -> creada la cuadricula 700
08:31:55.383 -> creada la cuadricula 699
08:31:55.416 -> creada la cuadricula 698
08:31:55.445 -> creada la cuadricula 697
08:31:55.495 -> creada la cuadricula 696
08:31:55.541 -> creada la cuadricula 695
08:31:55.593 -> creada la cuadricula 694
08:31:55.646 -> creada la cuadricula 693
08:31:55.695 -> creada la cuadricula 692
08:31:55.750 -> creada la cuadricula 691
08:31:55.806 -> creada la cuadricula 690
08:31:55.850 -> creada la cuadricula 689
08:31:55.879 -> creada la cuadricula 688
08:31:55.922 -> creada la cuadricula 687
08:31:55.971 -> creada la cuadricula 686
08:31:56.017 -> creada la cuadricula 685
08:31:56.068 -> creada la cuadricula 684
08:31:56.109 -> creada la cuadricula 683
08:31:56.146 -> creada la cuadricula 682
08:31:56.186 -> creada la cuadricula 681
08:31:56.212 -> creada la cuadricula 680
08:31:56.337 -> creada la cuadricula 679
08:31:56.391 -> creada la cuadricula 678
08:31:56.417 -> creada la cuadricula 677
08:31:56.467 -> creada la cuadricula 676
08:31:56.496 -> creada la cuadricula 675
08:31:56.546 -> creada la cuadricula 674
08:31:56.595 -> creada la cuadricula 673
08:31:56.626 -> creada la cuadricula 672
08:31:56.669 -> creada la cuadricula 671
08:31:56.697 -> creada la cuadricula 670
08:31:56.741 -> creada la cuadricula 669
08:31:56.793 -> creada la cuadricula 668
08:31:56.823 -> creada la cuadricula 667
08:31:56.865 -> creada la cuadricula 666
08:31:56.934 -> creada la cuadricula 665
08:31:56.985 -> creada la cuadricula 664
08:31:57.032 -> creada la cuadricula 663
08:31:57.081 -> creada la cuadricula 662
08:31:57.129 -> creada la cuadricula 661
08:31:57.281 -> creada la cuadricula 660
08:31:57.326 -> creada la cuadricula 659
08:31:57.404 -> creada la cuadricula 658
08:31:57.441 -> creada la cuadricula 657
08:31:57.483 -> creada la cuadricula 656
08:31:57.602 -> creada la cuadricula 655
08:31:57.766 -> creada la cuadricula 654
08:31:57.802 -> creada la cuadricula 653
08:31:57.847 -> creada la cuadricula 652
08:31:57.902 -> creada la cuadricula 651
08:31:58.006 -> creada la cuadricula 650
08:31:58.089 -> creada la cuadricula 649
08:31:58.202 -> creada la cuadricula 648
08:31:58.229 -> creada la cuadricula 647
08:31:58.268 -> creada la cuadricula 646
08:31:58.323 -> creada la cuadricula 645
08:31:58.404 -> creada la cuadricula 644
08:31:58.447 -> creada la cuadricula 643
08:31:58.509 -> creada la cuadricula 642
08:31:58.567 -> creada la cuadricula 641
08:31:58.615 -> creada la cuadricula 640
08:31:58.657 -> creada la cuadricula 639
08:31:58.803 -> creada la cuadricula 638
08:31:58.884 -> creada la cuadricula 637
08:31:58.992 -> creada la cuadricula 636
08:31:59.051 -> creada la cuadricula 635
08:31:59.165 -> creada la cuadricula 634
08:31:59.262 -> creada la cuadricula 633
08:31:59.309 -> creada la cuadricula 632
08:31:59.368 -> creada la cuadricula 631
08:31:59.525 -> creada la cuadricula 630
08:31:59.561 -> creada la cuadricula 629
08:31:59.590 -> creada la cuadricula 628
08:31:59.650 -> creada la cuadricula 627
08:31:59.706 -> creada la cuadricula 626
08:31:59.751 -> creada la cuadricula 625
08:31:59.781 -> creada la cuadricula 624
08:31:59.858 -> creada la cuadricula 623
08:31:59.975 -> creada la cuadricula 622
08:32:00.012 -> creada la cuadricula 621
08:32:00.055 -> creada la cuadricula 620
08:32:00.081 -> creada la cuadricula 619
08:32:00.137 -> creada la cuadricula 618
08:32:00.176 -> creada la cuadricula 617
08:32:00.203 -> creada la cuadricula 616
08:32:00.230 -> creada la cuadricula 615
